name,stars,price,description,city,country,ratingValue,ratingCount
The Whitby Hotel,5.0,1145 USD,The huge American Museum of Natural History is within a 5-minute drive of the 5-star Whitby New York City and Broadway Road is a mere 0.7 miles away.,New York,United States,8.2,75.0
Empire Hotel,4.0,159 USD,"Less than a 7-minute stroll from Museum of Arts and Design and approximately 1.4 miles from Midtown East, the Empire New York City features the outdoor swimming pool along with a rooftop bar.",New York,United States,8.4,1076.0
Millennium Downtown New York,4.0,257 USD,"The surrounding area includes Brooklyn Bridge, less than 9 minutes' walk away, and WTC Cortlandt subway station within 800 feet of the 4-star Millennium Downtown.",New York,United States,8.6,936.0
The Manhattan Club,4.0,381 USD,"Sitting nearly a 25-minute stroll from The Metropolitan Museum of Art, the 4-star first-class Manhattan Club is located in the theater district of New York City.",New York,United States,8.4,334.0
Hard Rock Hotel New York,5.0,452 USD,"Featuring fitness classes and entertainment activities, the Hard Rock Hotel New York City is situated around 0.5 miles from Times Square and 400 feet from 49th Street subway station.",New York,United States,8.2,184.0
Paramount Hotel Times Square,4.0,107 USD,"Located in a theater neighbourhood within walking distance from the central station, the 4-star Paramount Hotel Times Square offers 605 rooms and a lobby bar.",New York,United States,8.4,1219.0
Ace Hotel New York,4.0,248 USD,"Set 8 minutes by foot from Flatiron Building, the 4-star designer Ace Hotel overlooks the courtyard and invites guests to have a drink at a lobby bar.",New York,United States,8.6,1257.0
Roxy Hotel New York,4.0,450 USD,"Located 0.3 miles from Pier 26 at Hudson River Park, within 2.5 miles of Bryant Park, the luxury Roxy Hotel features fitness classes, live entertainment and various recreational opportunities along with 203 rooms.",New York,United States,8.4,577.0
Jw Marriott Essex House New York,5.0,620 USD,"Set near a metro station in the Manhattan district, the chic Jw Marriott Essex House includes 528 rooms as well as spa therapy and various recreational opportunities.",New York,United States,8.4,460.0
The New York Edition,5.0,1370 USD,"Located near a subway station and within a 10-minute drive of The High Line, the 5-star boutique Edition New York City offers fitness classes, massage therapy and various recreational opportunities.",New York,United States,8.4,79.0
Hyatt Centric Times Square New York,4.0,343 USD,"While staying at the 54-story Hyatt Centric Times Square you are invited to discover Central Park, set about 1.6 miles away, or The High Line, which is about 1.7 miles away.",New York,United States,8.4,350.0
Conrad New York Midtown,5.0,656 USD,"Near the welcoming 5-star Conrad New York Midtown, there is a metro station and guests can easily reach Rockefeller Center which is only 9 minutes by foot from the welcoming 5-star Conrad New York Midtown.",New York,United States,8.6,193.0
Park Lane New York,5.0,458 USD,The 5-star Park Lane is nestled steps away from the shopping district of New York City 750 feet from Pulitzer Fountain.,New York,United States,8.6,2872.0
Gansevoort Meatpacking,5.0,538 USD,"Guests can enjoy a drink in a pool bar or relax by a swimming pool, while staying at the 5-star luxury Gansevoort Meatpacking New York City, situated 1.8 miles from Times Square.",New York,United States,8.6,617.0
Park West Hotel,3.0,80 USD,"The smoke-free Park West New York City, located steps from Cathedral Church of Saint John the Divine, is also at a proximity to Frederick Douglass Circle.",New York,United States,8.2,346.0
Ink 48 Hotel,4.0,358 USD,"At the 4-star luxury Ink 48 New York City, located in a theater district, guests can relax at the wine bar.",New York,United States,8.4,435.0
The Benjamin Royal Sonesta New York,5.0,231 USD,"Located 10 minutes' walk from Top of the Rock, the excellent Benjamin Royal Sonesta New York City features spa therapy and various recreational opportunities near a metro station.",New York,United States,8.6,440.0
"Intercontinental New York Times Square, An Ihg Hotel",4.0,203 USD,"Boasting an unrivaled location in the theater Manhattan district, the 36-story luxury Intercontinental New York Times Square, An Ihg New York City features fitness classes and various recreational opportunities.",New York,United States,8.4,1039.0
Refinery Hotel - New York,5.0,527 USD,"The Refinery Hotel - is nestled a few blocks away from a theater district, 5 minutes by foot from Herald Square.",New York,United States,8.2,162.0
The Jane Hotel,2.0,219 USD,"Boasting a prime setting in an entertainment district, the 2-star boutique Jane New York City features a lobby bar plus various recreational opportunities and entertainment activities.",New York,United States,8.4,891.0
The Mercer,5.0,356 USD,"The 5-star Mercer New York City in the Manhattan district of New York City offers spacious rooms along with fitness classes, massage therapy and various recreational opportunities.",New York,United States,8.4,106.0
Civilian Hotel,4.0,381 USD,"Set a 5-minute drive from Empire State Building, the 4-star Civilian New York City lies in a theater area.",New York,United States,8.4,247.0
Pod Brooklyn,3.0,171 USD,"Thanks to its prime location, the 3-star Pod Brooklyn is only 900 feet from Williamsburg and there is a subway station near the 3-star Pod Brooklyn.",New York,United States,8.4,428.0
The Greenwich Hotel,5.0,614 USD,The 5-star pet-friendly Greenwich New York City in the Manhattan district features a swimming pool and a fitness center.,New York,United States,8.4,93.0
Washington Square Hotel,4.0,346 USD,"Thanks to its unique location, the stylish 4-star Washington Square New York City is 5 minutes by foot from Greenwich Village and there is a subway station near the stylish 4-star Washington Square New York City.",New York,United States,8.6,880.0
The James New York - Nomad,4.0,429 USD,"Featuring fitness classes and massage therapy, the 4-star James New York - Nomad New York City boasts a central location a 25-minute walk from Times Square.",New York,United States,8.2,262.0
Loews Regency New York Hotel,5.0,2658 USD,"Offering a location 9 minutes' walk from Trump Tower, the 5-star Loews Regency New York City overlooks the street and has an American restaurant.",New York,United States,8.4,129.0
33 Seaport Hotel New York,5.0,189 USD,"Featuring 66 rooms with views of the river, the 4-star non-smoking 33 Seaport Hotel is set 19 minutes' walk from Battery Park.",New York,United States,8.6,410.0
"The Lexington Hotel, Autograph Collection",4.0,293 USD,"Fitness classes and barbeque grills plus American dishes are available at the premier 4-star Lexington Hotel, Autograph Collection, set in the theater Manhattan district.",New York,United States,8.2,713.0
Pod 39,3.0,149 USD,"The family Pod 39 New York City is situated near the entertainment district of New York City, 5 minutes by foot from Sniffen Court Historic District and offers fitness classes, various recreational opportunities and entertainment activities.",New York,United States,8.4,795.0
"Intercontinental New York Barclay Hotel, An Ihg Hotel",5.0,195 USD,"Situated in the very heart of New York City and within 4 miles of World Trade Center Memorial Foundation, the elegant 5-star Intercontinental New York Barclay Hotel, An Ihg offers 693 rooms.",New York,United States,8.4,426.0
"Hotel 50 Bowery, Part Of Jdv By Hyatt",4.0,247 USD,"Brooklyn Bridge is within 0.6 miles of the 4-star 50 Bowery, Part Of Jdv By Hyatt New York City, while Washington Square Park is approximately a 25-minute stroll away.",New York,United States,8.2,283.0
Hotel 57,4.0,233 USD,"Within 800 feet of 59th Street subway station, the quiet 57 is set in a shopping area of New York City next to Howard Greenberg Gallery.",New York,United States,8.2,322.0
Riu Plaza New York Times Square,4.0,197 USD,"The modern Riu Plaza New York Times Square New York City is situated near the entertainment district of New York City, merely a 5-minute walk from Discovery Times Square.",New York,United States,8.2,568.0
Bklyn House Hotel New York Brooklyn,3.0,149 USD,"Located in the Brooklyn district of New York City and within 3.9 miles of World Trade Center Memorial Foundation, as well as near a metro station, the modern Bklyn House Hotel New York Brooklyn New York City offers various recreational opportunities and entertainment activities.",New York,United States,8.4,296.0
M Social Hotel Times Square New York,4.0,171 USD,"The 4-star family-friendly M Social Hotel Times Square, positioned in a theater district near a subway station, offers an a winter garden garden.",New York,United States,8.6,1369.0
Hotel Lucerne,4.0,398 USD,The 4-star luxury Lucerne New York City is placed 25 minutes' walk from Fifth Avenue and near a metro station.,New York,United States,8.6,638.0
Hotel Pennsylvania,3.0,320 USD,"Situated in the Manhattan district of New York City, the pet-friendly Pennsylvania offers quick access to LaGuardia airport within 17 minutes' drive.",New York,United States,8.2,7649.0
The Kimberly Hotel,4.0,259 USD,"There is an American-style restaurant available in the 30-story Kimberly New York City, which is set in the Manhattan district.",New York,United States,8.6,325.0
Renaissance New York Chelsea Hotel,4.0,189 USD,"Set a 25-minute walk from Top of the Rock, the Renaissance New York Chelsea invites its guests to benefit from fitness classes, various recreational opportunities and entertainment activities, plus to have a meal in an à la carte restaurant.",New York,United States,8.2,93.0
Bryant Park Hotel,4.0,317 USD,"Opened in 1900, the Bryant Park New York City welcomes guests in the Manhattan district, boasting a central position near a metro station.",New York,United States,8.6,480.0
The Times Square Edition New York,5.0,1240 USD,"Guests can enjoy an à la carte restaurant and fitness classes, various recreational opportunities and entertainment activities at the 5-star luxury Times Square Edition New York City, set near a subway station.",New York,United States,8.2,165.0
The Time,4.0,127 USD,"The sophisticated 4-star Time New York City is situated in the Manhattan district of New York City, 20 minutes' drive from LaGuardia airport.",New York,United States,8.4,2157.0
"Holiday Inn Manhattan Financial District, An Ihg Hotel",4.0,189 USD,"The 50-story Manhattan Financial District, An Ihg in the business area of New York City offers various recreational opportunities and entertainment activities.",New York,United States,8.2,482.0
"Dream Midtown, By Hyatt",4.0,159 USD,"The 4-star boutique Dream Midtown, Part Of Hyatt is nestled in the heart of New York City and approximately a 20-minute walk from Empire State Building.",New York,United States,8.6,1410.0
Hotel Belleclaire Central Park,4.0,365 USD,The premier Belleclaire Central Park consists of 267 rooms along with a lobby bar and is nestled in a shopping area.,New York,United States,8.6,1400.0
"Martinique New York On Broadway, Curio Collection By Hilton",4.0,326 USD,"Ideal for exploring Manhattan Skyline, approximately a 5-minute stroll away, and centrally located near a metro station, the 4-star Martinique New York On Broadway, Curio Collection By Hilton New York City will provide you with fitness classes, spa therapy and entertainment activities.",New York,United States,8.6,1431.0
The Marlton Hotel,4.0,259 USD,"Guests can enjoy an à la carte restaurant and various recreational opportunities and entertainment activities at the 4-star boutique Marlton New York City, set near a subway station.",New York,United States,8.2,226.0
"11 Howard, New York, A Member Of Design Hotels",5.0,219 USD,"The surrounding area includes Little Italy, less than 5 minutes' walk away, and Canal Street subway station 750 feet from the 5-star 11 Howard.",New York,United States,8.4,156.0
Arthouse Hotel,4.0,303 USD,A beautiful location of the 4-star Arthouse New York City provides easy access to Trump Tower within a 25-minute walk.,New York,United States,8.4,681.0
Sofitel New York,4.0,284 USD,"The surrounding area includes Times Square, a mere 7 minutes' walk away, and 42nd Street-Bryant Park/Fifth Avenue subway station a 10-minute walk from the Sofitel New York City.",New York,United States,8.4,595.0
New York Marriott At The Brooklyn Bridge,4.0,239 USD,"Located in the Downtown Brooklyn district 5 minutes' walk from Brooklyn Tabernacle, the 4-star luxurious Marriott At The Brooklyn Bridge New York City boasts fitness classes and spa therapy.",New York,United States,8.2,123.0
Ac Hotel By Marriott New York Times Square,4.0,197 USD,"An à la carte restaurant and 290 rooms are available during the stay at the 4-star Ac Hotel By Marriott New York Times Square New York City, boasting a location 9 minutes' walk from Times Square.",New York,United States,8.2,127.0
Americana Inn,2.0,65 USD,The Americana Inn is a comfortable 2-star property set within 2.5 miles of The Metropolitan Museum of Art and a mere 8 minutes by foot from Madison Square Garden.,New York,United States,8.4,478.0
"Thompson Central Park New York, By Hyatt",5.0,506 USD,"Located in the Manhattan district and 5 minutes' drive from Central Park, as well as near a metro station, the 5-star luxury Thompson Central Park New York, Part Of Hyatt New York City offers fitness classes, sun loungers and various recreational opportunities.",New York,United States,8.2,313.0
The Frederick Hotel Tribeca,5.0,248 USD,"Located near a subway station and about 7 minutes' walk from Brooklyn Bridge, the 5-star boutique Frederick Hotel Tribeca New York City offers fitness classes and entertainment activities.",New York,United States,8.4,647.0
W New York - Times Square,4.0,234 USD,"At the comfortable 4-star W New York - Times Square, located in a theater neighbourhood, guests can relax at the lobby bar.",New York,United States,8.4,373.0
Hyatt Place Nyc Chelsea,4.0,242 USD,"While staying at the 4-star Hyatt Place Nyc Chelsea New York City you are invited to discover Rockefeller Center, set about 1.3 miles away, or The High Line, which is a 19-minute stroll away.",New York,United States,8.2,385.0
,,,,,,,
The Puli Hotel And Spa,5.0,263 USD,"Located in an entertainment district, the 5-star luxury The Puli Hotel And Spa offers a steam room, a Jacuzzi and a hot tub along with an indoor pool.",Shanghai,China,8.4,157.0
"Pudong Shangri-La, Shanghai",5.0,180 USD,"Guests, staying at the elegant 5-star Pudong Shangri-La, will enjoy the location in the financial Pudong district along with steam baths, a Jacuzzi and a hot tub.",Shanghai,China,8.4,134.0
Grand Hyatt Shanghai,5.0,163 USD,"With views of the city, the 5-star Grand Hyatt is situated within a 10-minute drive of People's Square and offers fitness classes, spa therapy and entertainment activities.",Shanghai,China,8.4,211.0
The Portman Ritz-Carlton Shanghai,5.0,143 USD,"Shanghai Hongqiao International airport is 10 miles from the non-smoking Portman Ritz-Carlton, which lies in the very heart of a financial area.",Shanghai,China,8.4,55.0
Shanghai Marriott Marquis City Centre,5.0,144 USD,"Located in the business district of Shanghai and a mere 7 minutes' walk from People's Square, the unique Marriott Marquis City Centre features entertainment activities and various recreational opportunities.",Shanghai,China,8.4,245.0
Shanghai Marriott Hotel Pudong East,5.0,132 USD,"While staying at the 5-star Marriott Hotel Pudong East, which is located in a business neighbourhood, you can enjoy the lounge bar and a swimming pool.",Shanghai,China,8.6,232.0
Hyatt On The Bund,5.0,143 USD,"Offering a swimming pool as well as steam baths, a hot tub and sauna facilities onsite, the 33-story Hyatt On The Bund Shanghai boasts its location 10 minutes by foot from North Sichuan Road subway station.",Shanghai,China,8.2,243.0
Fairmont Peace Hotel On The Bund,5.0,269 USD,"Ideally located in the shopping district of Shanghai not too far from Heping Fandian, the Fairmont Peace Hotel On The Bund Shanghai has 270 rooms.",Shanghai,China,8.6,192.0
Park Hyatt Shanghai,5.0,304 USD,"Overlooking the Huangpu River, the 5-star business Park Hyatt in the financial district of Shanghai features an à la carte restaurant along with fitness classes and facials.",Shanghai,China,8.4,98.0
The Peninsula Shanghai,5.0,373 USD,"Boasting a great location in the entertainment district of Shanghai near a metro station, the 5-star modern Peninsula features fitness classes, spa therapy and entertainment activities on site.",Shanghai,China,8.4,96.0
"The Ritz-Carlton Shanghai, Pudong",5.0,301 USD,"Boasting a prime location, the 58-story Ritz-Carlton Shanghai, Pudong Shanghai invites guests to an à la carte restaurant serving European dishes.",Shanghai,China,8.6,96.0
"The Westin Bund Center, Shanghai",5.0,159 USD,"Boasting its location a 5-minute walk from The Ritz-Carlton Spa, the non-smoking Westin Bund Center, Shanghai has an indoor swimming pool and 553 rooms with views of the Huangpu River.",Shanghai,China,8.2,164.0
Conrad Shanghai,5.0,166 USD,"Located merely 7 minutes' walk from Shanghai Urban Planning Exhibition Hall, the 5-star Conrad has 728 rooms, and lies just a short stroll from a railroad station.",Shanghai,China,8.2,315.0
"Mandarin Oriental Pudong, Shanghai",5.0,208 USD,"Located within 2.3 miles of The Shanghai Museum, the comfortable Mandarin Oriental Pudong, features a swimming pool along with sauna facilities and an indoor pool.",Shanghai,China,8.2,56.0
Andaz Xintiandi Shanghai-Free Minibar & Lounge Happy Hour,5.0,171 USD,"Boasting a location around 0.4 miles from Fuxing Park, the stylish 5-star Andaz Xintiandi Shanghai - A Concept By Hyatt offers views of the city as well as a hot tub, an indoor pool and locker rooms.",Shanghai,China,8.4,74.0
Pullman Shanghai Skyway,5.0,133 USD,"Located in a business neighbourhood, the 5-star Pullman Shanghai Skyway Shanghai features fitness classes, spa therapy and various recreational opportunities.",Shanghai,China,8.2,205.0
"Kerry Hotel Pudong, Shanghai",5.0,125 USD,"An Asian restaurant with a hot tub, sauna facilities and an indoor pool are provided on site, while the 31-story luxurious Kerry Hotel Pudong, Shanghai boasts a major setting in the modern Pudong district.",Shanghai,China,8.2,94.0
Renaissance Shanghai Yu Garden Hotel,5.0,114 USD,"Offering a Jacuzzi, sauna facilities and an indoor pool, the 5-star Renaissance Shanghai Yu Garden is located within 0.4 miles of Old Town in a shopping neighbourhood.",Shanghai,China,8.4,360.0
Jw Marriott Shanghai At Tomorrow Square,5.0,181 USD,"Located in a shopping district and 6 minutes by foot from The Government of Shanghai Municipality, the 60-story Jw Marriott Shanghai At Tomorrow Square features 333 rooms plus a swimming pool.",Shanghai,China,8.4,123.0
Courtyard By Marriott Shanghai Central,4.0,124 USD,The comfortable Courtyard By Marriott enjoys a premium view overlooking the Suzhou River and is situated a 10-minute drive from The Bund.,Shanghai,China,8.2,103.0
Shanghai Marriott Hotel Hongqiao,5.0,124 USD,"Located 6 minutes by foot from ChengJiaQiao ShangYeJie ShuangYong Jie and just 0.7 miles from ShangHai GuoJi NongZhan ZhongXin, the 5-star smoke-free Marriott Hotel Hongqiao Shanghai features spa therapy and various recreational opportunities.",Shanghai,China,8.2,71.0
Ramada Plaza Shanghai Pudong Airport - A Journey Starts At The Pvg Airport,4.0,116 USD,"Located near a subway station and 2.9 miles from Zhang Wentian Former Residence, the 4-star non-smoking Ramada Plaza Shanghai Pudong Airport - A Journey Starts At The Pvg Airport offers fitness classes, entertainment activities and billiard.",Shanghai,China,8.4,446.0
Radisson Blu Hotel Shanghai New World,5.0,123 USD,"Offering access to an indoor swimming pool, the deluxe 5-star Radisson Blu Hotel Shanghai New World also provides fitness classes, facials and billiard just a short walk from a metro station and approximately 8 minutes' stroll from Shanghai Natural History Museum.",Shanghai,China,8.4,311.0
Hilton Shanghai Hongqiao,5.0,97 USD,"Intex Shanghai is about 1.3 miles from the stylish Hilton Shanghai Hongqiao, while Shanghai Zoo is approximately 2.5 miles away.",Shanghai,China,8.2,92.0
"The Langham, Shanghai, Xintiandi",5.0,173 USD,"Offering 355 rooms as well as sauna facilities and an indoor pool, the 5-star Langham, Shanghai, Xintiandi Shanghai is set 800 feet from Former French Concession and 5 minutes by foot from South Huangpi Road subway station.",Shanghai,China,8.4,142.0
Hotel Equatorial Shanghai,5.0,76 USD,"Located in the Downtown Shanghai district, the perfect Equatorial Shanghai offers 627 rooms along with an indoor pool.",Shanghai,China,8.4,329.0
Renaissance Shanghai Pudong Hotel,5.0,109 USD,"You can enjoy a lounge bar and a hot tub, sauna facilities and an indoor pool at the comfortable 5-star Renaissance Shanghai Pudong while taking advantage of its convenient location within walking distance of Century Park.",Shanghai,China,8.6,129.0
Grand Kempinski Hotel Shanghai,5.0,170 USD,"Featuring a swimming pool along with a lounge bar, the 5-star Grand Kempinski Hotel Shanghai is a great place for exploring Oriental Pearl TV Tower in a shopping area, set 0.4 miles away.",Shanghai,China,8.6,189.0
"Crowne Plaza Shanghai, An Ihg Hotel",5.0,96 USD,"Located in a shopping neighbourhood, 6 minutes by foot from Shanghai Jiao Tong University, the 5-star Crowne Plaza Shanghai, An Ihg offers access to sauna facilities, a massage chair and an indoor pool.",Shanghai,China,8.0,71.0
"Radisson Collection Hotel, Yangtze Shanghai",5.0,87 USD,"Situated in the business Changning district, around 4.2 miles from The Shanghai Museum, the contemporary 5-star Radisson Collection Hotel, Yangtze accommodates its guests in 525 rooms and offers sauna facilities and an indoor pool.",Shanghai,China,8.4,75.0
Bulgari Hotel Shanghai,5.0,609 USD,"Located merely 7 minutes by foot from Rockbund Art Museum, the 5-star Bulgari Hotel includes a traditional Hammam, a hot tub and an indoor pool along with Cantonese cuisine.",Shanghai,China,8.2,14.0
Courtyard By Marriott Shanghai Pudong,4.0,137 USD,"Located 5 minutes by foot from Shanghai Feng Tianxing Stone Museum and just 700 feet from Bao daxiang children Shopping Center, the 4-star business Courtyard By Marriott Shanghai Pudong features fitness classes and entertainment activities.",Shanghai,China,8.2,111.0
Shanghai Bund South China Harbour View Hotel,4.0,113 USD,"While staying at the perfect 4-star Bund South China Harbour View you are invited to discover Xintiandi, set a 10-minute drive away, or Oriental Pearl TV Tower, which is just 0.7 miles away.",Shanghai,China,8.0,102.0
Jin Jiang Park Hotel,4.0,79 USD,"Comprising 252 rooms, the charming 4-star Jin Jiang Park is set right next to a business district, 10 minutes' drive from Shanghai World Financial Center.",Shanghai,China,7.8,90.0
Regent Shanghai Pudong - Complimentary First Round Minibar Per Stay - Including A Bottle Of Wine,5.0,155 USD,"Set in a financial area, the non-smoking Regent Shanghai Pudong is 0.4 miles from Jin Mao Tower and has a hot spring public bath, a hot tub and sauna facilities onsite.",Shanghai,China,8.6,48.0
"Intercontinental Shanghai Pudong, An Ihg Hotel",5.0,103 USD,"The comfortable Intercontinental Shanghai Pudong features views of the city and a swimming pool, boasting a prime location within walking distance to a subway station.",Shanghai,China,8.6,67.0
Hongqiao Jin Jiang Hotel,5.0,91 USD,"Boasting a steam room, a Jacuzzi and locker rooms plus a lobby bar, the excellent 5-star Hongqiao Jin Jiang Shanghai is set approximately 0.5 miles from Loushanguan Road subway station.",Shanghai,China,8.4,75.0
Caption By Hyatt Zhongshan Park Shanghai,4.0,117 USD,"The 5-star business New World, located in the Changning district, has fitness classes and spa therapy.",Shanghai,China,8.6,164.0
Jw Marriott Hotel Shanghai Changfeng Park,5.0,199 USD,"Featuring a prime location in the business Putuo district, the 5-star Jw Marriott Hotel Shanghai Changfeng Park Shanghai offers panoramic views and heated swimming pool.",Shanghai,China,8.0,50.0
Grand Central Hotel Shanghai,5.0,117 USD,"Offering the opportunity to enjoy the sunset by Huangpu River, which runs around 0.3 miles away, the luxury Grand Central Hotel Shanghai offers sauna facilities and an indoor pool.",Shanghai,China,8.4,477.0
Renaissance Shanghai Zhongshan Park Hotel,5.0,184 USD,"Featuring an indoor swimming pool and spectacular views of the city, the 5-star Renaissance Shanghai Zhongshan Park Shanghai lies a 5-minute walk from Cloud Nine.",Shanghai,China,8.2,74.0
"Intercontinental Shanghai Jing' An, An Ihg Hotel",5.0,148 USD,"Nestled in a shopping area, only a 10-minute stroll from M50, the smoke free Intercontinental Shanghai Jing' An, An Ihg Shanghai features a steam room, sauna facilities and an indoor pool.",Shanghai,China,8.6,64.0
Wyndham Shanghai Bund East Hotel,5.0,191 USD,Shanghai Jewish Refugees Museum and Century Park are located 2.1 miles and 3 miles from the 32-story Wyndham Shanghai Bund East respectively.,Shanghai,China,8.2,29.0
The Middle House,5.0,237 USD,"Located in the center of Shanghai, in the neighborhood of People's Park and within walking distance of HKRI TaiKoo Hui, the fantastic 5-star Middle House offers fitness classes and various recreational opportunities.",Shanghai,China,8.2,23.0
The Bund Riverside Hotel,4.0,77 USD,"Set 700 feet from Holy Trinity Cathedral, the 4-star modern Bund Riverside Shanghai boasts spa therapy and entertainment activities.",Shanghai,China,8.2,224.0
Radisson Collection Hyland Shanghai,4.0,141 USD,"Situated in the very heart of Shanghai and a 25-minute walk from Yu Garden, the Radisson Collection Hyland offers 379 rooms.",Shanghai,China,8.4,359.0
"Green Court Residence City Center, Shanghai",,102 USD,"The smoke-free Court Residence City Center, is situated near a shopping district 0.8 miles from Shanghai Grand Theatre.",Shanghai,China,8.4,406.0
Waldorf Astoria Shanghai On The Bund,5.0,318 USD,"Located 0.9 miles from The Shanghai Museum, the 5-star luxury Waldorf Astoria Shanghai On The Bund entices guests with a hot tub, sauna facilities and an indoor pool.",Shanghai,China,8.4,71.0
Jin Jiang Hotel,5.0,111 USD,The luxury Jin Jiang Shanghai is situated near the entertainment district of Shanghai 2 miles from The Bund.,Shanghai,China,8.4,110.0
Four Seasons Hotel Shanghai,5.0,250 USD,"Guests can have a buffet breakfast and enjoy visiting Yu Garden, set about 1.9 miles from the 5-star Four Seasons Hotel Shanghai.",Shanghai,China,8.4,105.0
Courtyard By Marriott Shanghai Xujiahui,4.0,70 USD,"Situated in a business neighbourhood, 0.7 miles from Xujiahui Park, the 4-star Courtyard By Marriott Shanghai Xujiahui Shanghai accommodates its guests in 319 rooms and offers sauna facilities and an indoor pool.",Shanghai,China,8.4,73.0
The Shanghai Edition,5.0,441 USD,"A 15-minute walk from Old Town, the 5-star Edition Shanghai offers an a tropical garden garden along with a hot tub and an indoor pool.",Shanghai,China,8.0,41.0
Doubletree By Hilton Shanghai Pudong - Present Welcome Cookie,5.0,121 USD,"Featuring indoor heated pool along with a hot tub, sauna facilities and an indoor pool, the 47-story fully serviced Doubletree By Hilton Shanghai - Pudong Shanghai offers a central setting within walking distance of Century Park.",Shanghai,China,7.8,130.0
"Holiday Inn Shanghai Vista, An Ihg Hotel",4.0,71 USD,"Offering sauna facilities and an indoor pool together with a lounge bar, the 4-star non-smoking Holiday Inn Shanghai Vista, An Ihg boasts its setting 10 minutes by foot from Changshou Road metro station.",Shanghai,China,8.2,59.0
Jing An Hotel,4.0,155 USD,"Comprising 126 rooms, the Jing An Shanghai is set near an entertainment district within 1.7 miles of Former French Concession.",Shanghai,China,7.6,38.0
The Land Hotel Shanghai,4.0,56 USD,"The 4-star Land Hotel is situated in the Minhang district, 10 minutes' drive from Shanghai Hongqiao International airport.",Shanghai,China,7.0,5.0
Hengshan Garden Hotel,5.0,96 USD,"The 5-star non-smoking Hengshan Garden offers aerobics classes and live entertainment in a shopping area of Shanghai, within a 10-minute drive of Shanghai Propaganda Poster Art Centre.",Shanghai,China,8.4,81.0
Ocean Hotel Shanghai,5.0,92 USD,"Jin Mao Tower is a 25-minute stroll from the 5-star Ocean Hotel Shanghai, while The Ritz-Carlton Spa is 1.8 miles away.",Shanghai,China,8.0,14.0
The Qube Hotel Shanghai - Pudong International Airport,5.0,88 USD,Greenland's East Coast Plaza is 800 feet from the luxury Qube Hotel Shanghai - Pudong International Airport Shanghai and Chuansha Ancient City Wall is about 15 minutes' walk away.,Shanghai,China,8.6,561.0
Ifc Residence,5.0,209 USD,"Offering location in the shopping district of Shanghai above a subway station, the Ifc Residence Shanghai has 296 rooms and an indoor pool.",Shanghai,China,8.2,112.0
Rayfont Downtown Hotel Shanghai,4.0,56 USD,"The 33-story Rayfont Downtown Hotel is settled in a shopping district, around 2.2 miles from People's Square, and includes a coffee bar.",Shanghai,China,7.6,119.0
Sunrise On The Bund,5.0,110 USD,"The 5-star non-smoking Sunrise On The Bund offers aerobics classes, facials and massage therapy within nearly a 5-minute stroll from Huangpu River.",Shanghai,China,8.2,57.0
Pullman Shanghai Jing An,5.0,94 USD,"Boasting an Asian menu, the 5-star designer Pullman Shanghai Jing An has 287 rooms, featuring a setting near a railroad station in the Jing'an district.",Shanghai,China,8.4,390.0
Charms Hotel Shanghai,3.0,44 USD,"Situated in the Downtown Shanghai district, the 3-star Charms Hotel offers quick access to Shanghai Hongqiao International airport within 13 minutes' drive.",Shanghai,China,7.8,173.0
Shanghai Hongkou Sanzhi International Hotel,5.0,106 USD,"Featuring an à la carte restaurant and a swimming pool, the 5-star Sheraton Shanghai Hongkou offers a setting a short walk from a subway station.",Shanghai,China,8.4,100.0
"J Hotel, Shanghai Tower - Above All Else, Overlooking The Bund",5.0,529 USD,"The 5-star J Hotel, Shanghai Tower is settled in the Pudong district, about a 10-minute walk from Jin Mao Tower, and includes a lobby bar.",Shanghai,China,8.0,10.0
The Eton Hotel Shanghai,4.0,55 USD,"Guests can choose from 460 rooms, enjoy sauna facilities and an indoor pool, available in the exquisite Eton Hotel Shanghai centrally set in the financial district of Shanghai.",Shanghai,China,8.4,64.0
"Holiday Inn Shanghai Pudong, An Ihg Hotel",4.0,80 USD,"Offering 352 contemporary rooms along with table tennis and billiard on-site, the non-smoking Pudong Shanghai is nestled in a financial area near a train station.",Shanghai,China,8.0,127.0
Kempinski The One Suites Hotel Shanghai Downtown,,149 USD,"The surrounding area includes Shanghai Natural History Museum, a 6-minute walk away, and West Nanjing Road subway station a mere 10 minutes by foot from the 5-star smoke-free Kempinski The One Suites Hotel Shanghai Downtown.",Shanghai,China,8.2,233.0
Seventh Heaven Hotel,3.0,66 USD,The smoke free Seventh Heaven offers modern rooms a few steps from a shopping district 25 minutes by foot from Shanghai World Financial Center.,Shanghai,China,8.0,486.0
Jinling Purple Mountain Hotel Shanghai（Shanghai Grand Trustel Purple Mountain Hotel）,5.0,79 USD,"Guests can take a swim in an outdoor swimming pool or enjoy a lounge bar available in the Jinling Purple Mountain Hotel Shanghai（Shanghai Grand Trustel Purple Mountain Hotel） Shanghai, conveniently set in a shopping neighbourhood.",Shanghai,China,8.0,154.0
"Holiday Inn Shanghai Hongqiao, An Ihg Hotel",4.0,104 USD,"Set near a metro station in the Minhang district of Shanghai, the 4-star Holiday Inn Shanghai Hongqiao, An Ihg Shanghai includes 361 rooms as well as fitness classes, spa therapy and various recreational opportunities.",Shanghai,China,8.2,37.0
